date_reg,type,maker,model,colour,fuel,state
2026-01-01,jip,Chery,iCaur V23,orange,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Kedah
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Johor
2026-01-01,jip,Proton,e.MAS 7,green,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 2,white,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 2,grey,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 2,green,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 3,grey,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 3,white,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 3,black,electric,Rakan Niaga
2026-01-02,jip,BYD,Atto 3,black,electric,W.P. Kuala Lumpur
2026-01-02,jip,BYD,Atto 3,white,electric,Pahang
2026-01-02,motokar,BYD,Seal 6,grey,electric,W.P. Kuala Lumpur
2026-01-02,motokar,BYD,Seal 6,blue,electric,W.P. Kuala Lumpur
2026-01-02,motokar,BYD,Seal 6,grey,electric,Rakan Niaga
2026-01-02,motokar,BYD,Seal 6,blue,electric,Rakan Niaga
2026-01-02,motokar,BYD,Seal,grey,electric,Rakan Niaga
2026-01-02,jip,BYD,Sealion,white,electric,W.P. Kuala Lumpur
2026-01-02,jip,Chery,iCaur 03,white,electric,Rakan Niaga
2026-01-02,jip,Chery,iCaur 03,black,electric,Rakan Niaga
2026-01-02,jip,Chery,iCaur V23,black,electric,Rakan Niaga
2026-01-02,jip,Chery,iCaur V23,orange,electric,Rakan Niaga
2026-01-02,motokar,Dong Feng,007,gold,electric,Rakan Niaga
2026-01-02,motokar,Dong Feng,Box E3,white,electric,Rakan Niaga
2026-01-02,jip,Dong Feng,Vigo,yellow,electric,Rakan Niaga
2026-01-02,jip,Leapmotor,C10,white,electric,Rakan Niaga
2026-01-02,jip,Leapmotor,C10,grey,electric,W.P. Kuala Lumpur
2026-01-02,motokar,Neta,V,green,electric,Sabah
2026-01-02,motokar,Neta,V,white,electric,Rakan Niaga
2026-01-02,motokar,Porsche,Taycan,white,electric,W.P. Kuala Lumpur
2026-01-02,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-02,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-02,motokar,Proton,e.MAS 5,white,electric,Johor
2026-01-02,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-02,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-02,motokar,Proton,e.MAS 5,yellow,electric,W.P. Kuala Lumpur
2026-01-02,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-02,motokar,Proton,e.MAS 5,grey,electric,W.P. Kuala Lumpur
2026-01-02,motokar,Proton,e.MAS 5,silver,electric,Selangor
2026-01-02,motokar,Proton,e.MAS 5,pink,electric,Selangor
2026-01-02,motokar,Proton,e.MAS 5,pink,electric,W.P. Kuala Lumpur
2026-01-02,motokar,Proton,e.MAS 5,white,electric,Pahang
2026-01-02,motokar,Proton,e.MAS 5,yellow,electric,Selangor
2026-01-02,motokar,Proton,e.MAS 5,pink,electric,Perak
2026-01-02,motokar,Proton,e.MAS 5,white,electric,W.P. Kuala Lumpur
2026-01-02,jip,Proton,e.MAS 7,silver,electric,Rakan Niaga
