id,name,city,state_province,country_code,latitude,longitude,ports,power_kw,power_class,is_fast_dc
460247,Petron Bandar Tasik Puteri EB by DC Handal,Rawang,Selangor,MY,3.291936,101.479262,2,180.0,DC_ULTRA_(>=150kW),True
460234,GO TO-U EDUCITY HUB @ ISKANDAR PUTERI,ISKANDAR PUTERI,Johor,MY,1.431965,103.61727,2,120.0,DC_FAST_(50-149kW),True
459797,MYDIN KUBANG KERIAN (Shopping Mall),Kota Bharu,Kelantan,MY,6.097991,102.277771,1,60.0,DC_FAST_(50-149kW),True
459796,THE WALK @ RIVERSON (Shopping Mall),Kota Kinabalu,Sabah,MY,5.969017,116.064499,1,22.0,AC_HIGH_(22-49kW),False
459795,LIDO PLAZA 2 (Shopping Mall),Penampang,Sabah,MY,5.936645,116.082413,1,22.0,AC_HIGH_(22-49kW),False
459794,PERMAIPURA GOLF & COUNTRY CLUB (Golf Course),Bedong,Kedah,MY,5.728236,100.527924,1,22.0,AC_HIGH_(22-49kW),False
459793,CINTA SAYANG RESORT (Hotel),Sungai Petani,Kedah,MY,5.659039,100.518845,1,40.0,AC_HIGH_(22-49kW),False
459792,PUREST HOTEL SUNGAI PETANI (Hotel),Sungai Petani,Kedah,MY,5.614636,100.482018,1,22.0,AC_HIGH_(22-49kW),False
459791,THE REEF PENANG (Residential Condo),Batu Ferringhi,Pulau Pinang,MY,5.477899,100.269989,1,22.0,AC_HIGH_(22-49kW),False
459790,[Restricted] SURIN CONDOMINIUM (Residential Condo),TANJUNG BUNGAH,Pulau Pinang,MY,5.466606,100.274902,1,40.0,AC_HIGH_(22-49kW),False
459789,[Restricted] ONE TANJONG (TOWER A) (Residential Condo),George Town,Pulau Pinang,MY,5.466416,100.293724,1,40.0,AC_HIGH_(22-49kW),False
459788,[Restricted] PEARL VIEW CONDOMINIUM (Residential Condo),Penang Hill,Pulau Pinang,MY,5.464443,100.295944,1,22.0,AC_HIGH_(22-49kW),False
459787,[Restricted] TAMAN LEADER CONDOMINIUM (Residential Condo),Tanjung Bungah,Pulau Pinang,MY,5.463445,100.277107,1,40.0,AC_HIGH_(22-49kW),False
459786,MBPP PASAR TANJONG BUNGAH (Public Area),Tanjung Bungah,Pulau Pinang,MY,5.46335,100.28508,1,50.0,DC_FAST_(50-149kW),True
459785,ANGSANA TELUK BAHANG PENANG (Hotel),Tanjong Bungah,Pulau Pinang,MY,5.461868,100.219742,1,40.0,AC_HIGH_(22-49kW),False
459784,[Restricted] QUAYSIDE CONDOMINIUM (Residential Condo),Georgetown,Pulau Pinang,MY,5.460772,100.312714,1,22.0,AC_HIGH_(22-49kW),False
459783,[Restricted] TAMARIND CONDO PENANG (Residential Condo),Tanjung Tokong,Pulau Pinang,MY,5.456723,100.309563,1,22.0,AC_HIGH_(22-49kW),False
459782,[Restricted] I-SANTORINI CONDOMINIUM (Residential Condo),Tanjung Tokong,Pulau Pinang,MY,5.455225,100.309143,1,22.0,AC_HIGH_(22-49kW),False
