date_reg,type,maker,model,colour,fuel,state
2026-01-01,motokar,BMW,7 Series,black,hybrid_petrol,Johor
2026-01-01,motokar,BMW,7 Series,grey,hybrid_petrol,Rakan Niaga
2026-01-01,jip,Chery,iCaur V23,orange,electric,Rakan Niaga
2026-01-01,jip,Chery,Tiggo,grey,petrol,Rakan Niaga
2026-01-01,pick_up,Ford,Ranger,black,petrol,Johor
2026-01-01,jip,GAC,GS3,silver,petrol,Rakan Niaga
2026-01-01,jip,Great Wall,Haval H6,white,hybrid_petrol,Rakan Niaga
2026-01-01,jip,Great Wall,Haval H6,grey,hybrid_petrol,Rakan Niaga
2026-01-01,motokar,Honda,Civic,blue,petrol,Kedah
2026-01-01,motokar,Honda,Civic,white,petrol,Kedah
2026-01-01,motokar,Honda,Civic,white,petrol,Kedah
2026-01-01,motokar,Honda,Civic,white,petrol,Johor
2026-01-01,window_van,Honda,STEPWGN,white,petrol,Kelantan
2026-01-01,jip,Hyundai,Santa Fe,green,hybrid_petrol,Rakan Niaga
2026-01-01,jip,Jetour,Dashing,white,petrol,Rakan Niaga
2026-01-01,jip,Jetour,VT9,black,petrol,Rakan Niaga
2026-01-01,jip,Lexus,NX,black,petrol,Johor
2026-01-01,jip,Lexus,RX,white,petrol,Johor
2026-01-01,motokar,Mazda,3,red,petrol,Rakan Niaga
2026-01-01,motokar,Mazda,3,black,petrol,Rakan Niaga
2026-01-01,motokar,Mazda,3,black,petrol,Kelantan
2026-01-01,motokar,Mazda,CX-30,grey,petrol,Rakan Niaga
2026-01-01,jip,Mazda,CX-5,gold,petrol,Rakan Niaga
2026-01-01,jip,Mazda,CX-8,black,petrol,Rakan Niaga
2026-01-01,window_van,Nissan,Elgrand,black,petrol,Rakan Niaga
2026-01-01,window_van,Nissan,Serena,black,petrol,Kedah
2026-01-01,motokar,Perodua,Axia,blue,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Axia,blue,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Axia,grey,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Axia,grey,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Bezza,red,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Bezza,red,petrol,Rakan Niaga
2026-01-01,motokar,Perodua,Bezza,silver,petrol,Rakan Niaga
2026-01-01,jip,Perodua,Traz,silver,petrol,Johor
2026-01-01,jip,Peugeot,408,blue,petrol,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Kedah
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Johor
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,pink,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,silver,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,white,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,yellow,electric,Rakan Niaga
2026-01-01,motokar,Proton,e.MAS 5,grey,electric,Rakan Niaga
2026-01-01,jip,Proton,e.MAS 7,green,electric,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,blue,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,blue,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,blue,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,maroon,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,maroon,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,red,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,white,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2026-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
